"Author.Full.Names","Article.Title","Publication.Year","Abstract","Answer.1","Answer.2","Answer.3","Answer.4","Answer.5","Answer.6","Answer.7","Answer.8","Answer.9"
"Yang Shiqin; Hui, Ma","The Problems and Countermeasures of Visually Impaired Students Integrating into Ordinary Universities",2017,"With the continuous development of higher integration education, more and more visually impaired students enter the ordinary universities to study, which means achieving a major improvement in education equality, but at the same time, how to integrate into college life for visually impaired students is extremely Worthy of attention. This paper points out and analyzes the problems in the process of integration into the university life for visually impaired students and puts forward practical suggestions to promote the healthy growth of visually impaired students in university study and life.","Yes","Yes","N/A","N/A","College","N/A","N/A","N/A","N/A"
"Batusic, Mario; Miesenberger, Klaus; Heumader, Peter","MathInBraille Online Converter",2011,"Objective. In this short paper we will announce the targets and the way of accomplishing the tasks in our current project MathInBraille. 60 years since the invention of the computer and after 30 years of successful use of Braille display and speech output, there are still difficulties for blind and visually impaired persons to access scientific documents or school books containing mathematical formulae. The main reason for these difficulties lies in the visual 2D character of the mathematical presentation that is in conflict with the linear nature of Braille and speech output. The existence of many different, language bound mathematical Braille codes is also a barrier for an universal Braille access to science. MathInBraille project wants to contribute to overcoming this part of the digital divide by offering an online portal for converting eDocuments with mathematical contents into Braille and speech formats. The main target group of the project are blind and visually impaired pupils, students and other persons interested in school and/or scientific materials containing mathematics. Main Content. The paper will outline the plan of setting up a portal for conversion of mathematic formula and documents into well defined math notations for blind readers. It will outline the plans and the workflow of the protal. Results. The MathInBraille online service will be free of charge and no kind of personal user data will be collected. It should allow those confronted with accessing math in accessible notations and those in charge of providing services for blind people (e.g. inclusive education) to easily convert standard math content (e.g. in MathML or TeX/LaTeX) into Braille and audio formats. The project is funded by the Internet Foundation Austria (IPA) [1] and will be carried out by the Institute Integriert Studieren [2] of the Johannes Kepler Universitat Linz, Austria. Its duration is from February to October 2011. Conclusions. This paper presents the concept of an open portal for math conversion into accessible formats for blind people. It will also outline the need to work towards a universal math notation for the target group to allow better and more sustainable international co-operation in providing access to math content.","Yes","Accommodation","Online portal for converting math to Braille/audio","N/A","Pupils, students, and interested persons","N/A","Austria","Mathematics","N/A"
"Konecki, Mario; Ivkovic, Nikola; Kaniski, Matija","Making Programming Education More Accessible for Visually Impaired",2016,"Modern programming paradigms have brought many different challenges for visually impaired programmers. Graphical interfaces have become one of the biggest obstacles for visually impaired programming professionals. The same problems that relate to visually impaired programmers also apply to programming education in which it is very challenging to make educational interfaces accessible for visually impaired and for other students with disabilities. In order to make programming more suitable for students with visual impairment an educational system that enables voice-based control of its elements has been developed for the purpose of their programming education. The results of using this kind of system and its impact on visually impaired students are presented and discussed in this paper.","Yes","Accommodation","Voice-based control system","Programming education","N/A","N/A","N/A","Programming","N/A"
"Acuay Pauta, Jorge Andres; Pinos Velez, Eduardo; Serpa-Andrade, Luis","Braille Teaching Electronic Prototype",2016,"The developed project aims to introduce an electronic device, in a blind people community, an electronic device, capable of generating an autonomous learning of Braille reading system. In addition, it was decided to develop this project, taking as reference the current rate of 0.3% of visually impaired people in Ecuador, the government's willingness to support projects that involve social inclusion; and the University commitment, to improve the lifestyle of people with disabilities. The device centers its operation in the use of the senses of touch, sight and audio, through the implementation of micro servos, mp3 DfPlayer module, low brightness leds and the bluetooth module HC-06 respectively. The electronic board Arduino Mega, is responsible for receiving the input signals and activate the peripherals, which generate the learning of the Braille code. The project is implemented in the Unidad Educativa Claudio Neira Garzon of the city of Cuenca, where users are able to learn the characters of Braille language, but not at the same pace, taking into account that two of the three subjects, who were tested, are people with vision and the third person is a nine years old student who attends the second year of basic education in the institution.","Yes","Accommodation","Electronic device for Braille learning","Learning, classroom","Elementary","Three","Ecuador","Braille reading","Yes, three people"
"Laviole, Jeremy; Thevin, Lauren; Albouys-Perrois, Jeremy; Brock, Anke","Nectar: Multi-user Spatial Augmented Reality for everyone. Three live demonstrations of educative applications.",2018,"In this demonstration we showcase a new spatial augmented reality device (interactive projection) with three applications: education and experimentation of color models, map exploration for visually impaired people and scientific vulgarization of machine learning. The first exhibition is an interactive exploration about the nature of light. Visitors can experiment with additive subtractive color models. We engage them with questions, and they have to reply using cards to find out answers. This exhibit is suitable for children. The second exhibition is about map exploration and creation for Visually Impaired Persons (VIP). VIP generally use tactile maps with braille to learn about an unknown environment. However, these maps are not accessible to the 80% of VIP who don't read braille. Our prototype augments raised-line maps with audio output. The third exhibition is destined to be used for scientific outreach. It enables the creation of artificial neural networks (ANN) using tangible interfaces. Neurons are represented by laser-cut diamond shaped tokens, and the data to learn is printed on cards. The ANN learns to differentiate shapes, and the whole learning process is made visible and interactive. These three applications demonstrate the capabilities of our hardware and software development kit in different scenarios. At ReVo, each demonstration will have its own setup and interactive space.","Yes","Accommodation","Augmented raised-line maps with audio output","Learning","N/A","N/A","N/A","Map exploration","N/A"
"Domingues, Fernanda; Licheski, Lais Cristina","Ergonomic Aspects in the Redesign of a Child's Inclusive Textbook",2018,"The objective of this work is to analyze the ergonomic aspects used in redesigning a basic school textbook, aiming at the inclusion of children with visual impairments. For that purpose, the manner how new graphic artifacts of interaction and multisensory learning were absorbed by the user, through the prototype of a first grade mathematics textbook in Braille, was analyzed. In addition, this work aims to study the insertion and development of support materials for basic education for visually impaired students, not losing focus of the viability of the project in the context of Brazilian public schools.","Yes","Accommodation","Braille mathematics textbook","Learning","First grade","N/A","Brazil","Mathematics","N/A"
"Ramirez, Melissa; Sotaquira, Miguel; De la Cruz, Alberto; Maria, Esther; Avellaneda, Gustavo; Ochoa, Ana","An Automatic Speech Recognition System for Helping Visually Impaired Children to Learn Braille",2016,"We present an automatic speech recognition (ASR) system which, along with a haptic interface, is aimed at helping preschool children to learn Braille. The ASR algorithm extracts a set of Mel-Frequency Cepstral Coefficients (MFCC) from the speech signal, followed by a Dynamic Time Warping (DTW) approach, thus allowing to recognize vowels pronounced by the user. The ASR algorithm was tested on 9 subjects and its sensitivity was measured in terms of the percentage of true positives. The highest accuracy values were obtained for the a, e, o and u vowels (with hit ratios of 88.8% in all cases), whereas the i vowel exhibited the lowest sensitivity (77.7%). Validation of user interaction with the haptic system is currently underway, and additional testing is needed to determine the potential benefits that this system offers in the context of preschool education in Colombia.","Yes","Accommodation","Automatic speech recognition for learning Braille","Learning","Preschool","9","Colombia","Braille learning","N/A"
"Kouroupetroglou, Georgios; Kacorri, Hernisa","Deriving Accessible Science Books for the Blind Students of Physics",2009,"We present a novel integrated methodology for the development and production of accessible physics and science books from the elementary up to tertiary educational levels. This language independent approach adopts the Design-for-All principles, the available international standards for alternative formats and the Universal Design for Learning (UDL) Guidelines. Moreover it supports both static (embossed and refreshable tactile) and dynamic (based on synthetic speech and other sounds) accessibility. It can produce Tactile Books (Embossed Braille and Tactile Graphics), Digital Talking Books (or Digital Audio Books), Large Print Books as well as Acoustic-Tactile Books for the blind and visually impaired students as well as but for the print-disabled. This methodology has been successfully applied in the case of blind students of the Physics, Mathematics and Informatics Departments in the University of Athens.","Yes","Accommodation","Accessible physics and science books","Learning","Elementary to tertiary","N/A","Greece","Physics","Yes"
"Akgun, Ergun; Karaman, M. Kemal","The VODIE project: An extensive educational opportunity for vocational training of visually impaired individuals",2013,"Recent developments in educational technology offer many opportunities for blind-handicapped people in education and employment. The distance education system is one of the most preferred in these technologies. Within the scope of this system, various certification and training programs are performed by using learning management systems (LMS) and software considering visually impaired individuals. Vocational Education of Visually Impaired People via Distance Education (VODIE) project is aimed four goals: (1) Transferring a learning management system (LMS) that is suitable for the use of visually impaired individuals which is unavailable in Turkey, (2) developing the transferred LMS with addition of mobile access support and examination module, (3) creating and implementing an international certification program, and finally increase the accessibility and utilizing opportunities to information and communication technologies for visually impaired individuals. This article presents some experiences from the VODIE project of using accessible LMS and video conference system for visually impaired individuals. Also, transfer of innovation and developing new modules processes will be discussed. (C) 2013 The Authors. Published by Elsevier Ltd.","Yes","Accommodation","Accessible LMS and video conference system","Learning","N/A","N/A","Turkey","N/A","N/A"
"Bayram, Gozde Irem; Corlu, M. Sencer; Aydin, Emin; Ortactepe, Deniz; Alapala, Burcu","An exploratory study of visually impaired students' perceptions of inclusive mathematics education",2015,"The Turkish Disability Act introduced inclusive education to Turkey as a solution to the problems experienced by students with disabilities, including visually impaired students. The main purpose of this study was to explore the challenges faced by visually impaired students learning high school mathematics in inclusive classrooms in Turkey. The data were qualitative, consisting of interviews conducted with three high school graduates; they were analysed using the constant comparison method. In the interviews, students described the effects of various teaching methods on their learning and evaluated the social aspect (broadly speaking) of inclusive education. The results show that while the social needs of visually impaired Turkish students were adequately met through inclusive education, their academic needs were not, which we speculate to be partly because of mathematics teachers' negative attitudes towards inclusive education.","Yes","Not","N/A","N/A","High school","Three","Turkey","Mathematics","N/A"
"Baker, David","Visually impaired musicians' insights: narratives of childhood, lifelong learning and musical participation",2014,"With the support of the Royal National Institute of Blind People (RNIB), the life histories of five visually impaired (VI) musicians were collected and analysed between November 2011 and August 2012. This research was conducted as a pilot for a two-year, national investigation of VI musical participation, Visually-impaired musicians' lives' (VIML) funded by the Arts and Humanities Research Council (AHRC, 2013-2015), which has brought together the Institute of Education, University of London, the RNIB and the Royal Academy of Music, London as project partners. In this instance, life histories were co-constructed narratives - foci were the self-identities of this unique group and insider' perspectives on education, musical participation and society. Analytic induction of the biographies revealed that a perceived barrier to lifelong learning was having the ability to read notation, either adapted print or in Braille format, and the access to educators who had expertise to teach musicians with visual impairments. The respondents commented on the great value of ensemble participation and adopting teaching roles too. With widespread lore in society about the exceptional musical abilities of those with visual impairment, longstanding traditions of blind musicianship, plus evidence of distinct neural development and hearing, they acknowledged the cachet associated with blind musicians but, regardless, wished to be considered musicians first and foremost. The findings raise questions about social and music educational inclusion.","Yes","Yes","Notation in Braille or adapted print","N/A","N/A","Five","United Kingdom","Music","N/A"
"Srivastava, Sangeeta; Varshney, Ashwani; Katyal, Supriya; Kaur, Ravneet; Gaur, Vibha","A smart learning assistance tool for inclusive education",2021,"The government has established special schools to cater to the needs of children with disabilities but they are often segregated rather than receiving equitable opportunities. Artificial Intelligence has opened new ways to promote special education with advanced learning tools. These tools enable to adapt to a typical classroom set up for all the students with or without disabilities. To ensure social equity and the same classroom experience, a coherent solution is envisioned for inclusive education. This paper aims to propose a cost-effective and integrated Smart Learning Assistance (SLA) tool for Inclusive Education using Deep Learning and Computer Vision techniques. It comprises speech to text and sign language conversion for hearing impaired students, sign language to text conversion for speech impaired students, and Braille to text for communicating with visually impaired students. The tool assists differently-abled students to make use of various teaching-learning opportunities conferred to them and ensures convenient two-way communication with the instructor and peers in the classroom thus makes learning easier.","Yes","Accommodation","Smart Learning Assistance tool using AI","Classroom","N/A","N/A","N/A","N/A","N/A"
"da Silva, Jailma Cruz; Pimentel, Adriana Miranda","Educational inclusion for visually impaired in the education",2021,"Introduction: The number of students with visual impairment that have enrolled in higher education has been significant in recent years thanks to positive political action and designated changes in basic education. For that reason, access to information and accessibility conditions must be a priority, to ensure the continuation of these students within the university. Objective: To analyze the scientific production on educational inclusion of the visually impaired, specifically concerning the continuation within higher education institutions. Method: Integrated literature review in publicly accessible virtual environments, such as Brazil's Coordination for the Improvement of Higher Education Personnel (CAPES) and Scientific Electronic Library Online (SciELO), by combining the tecnologia assistiva e deficiencia visual. Results: 21 articles were identified, organized, and analyzed, enabling the identification of one category: access and continuation of visually impaired students within higher education; and two subcategories: teacher training aimed at working with visually impaired students and availability of material resources at higher education institutions. Conclusion: The analysis of the resources indicates that, although access to higher education for people with disabilities is legally protected, actual inclusion is necessary within institutions. Hence, providing access is not enough if there are no suitable physical and material infrastructures to guarantee the continuation of the visually impaired student within the university.","Yes","Accommodation","N/A","N/A","Higher education","N/A","Brazil","N/A","N/A"
"Samigulina, Galina A.; Shayakhmetova, Assem S.","Smart-system of distance learning of visually impaired people based on approaches of artificial intelligence",2016,"Research objective is the creation of intellectual innovative technology and information Smart-system of distance learning for visually impaired people. The organization of the available environment for receiving quality education for visually impaired people, their social adaptation in society are important and topical issues of modern education. The proposed Smart-system of distance learning for visually impaired people can significantly improve the efficiency and quality of education of this category of people. The scientific novelty of proposed Smart-system is using intelligent and statistical methods of processing multi-dimensional data, and taking into account psycho-physiological characteristics of perception and awareness learning information by visually impaired people.","Yes","Accommodation","Smart-system for distance learning","Learning","N/A","N/A","N/A","N/A","N/A"
"Soiffer, Neil","The Benetech Math Editor: An Inclusive Multistep Math Editor for Solving Problems",2018,"WYSIWYG editors for entering math in documents have existed for over 20 years. A few of these are accessible, but almost all are geared towards entering a single expression, not to the process of solving a math problem. The Benetech math editor introduces two simple and unique ideas that are very useful in the middle and high school settings for solving math problems. The first idea allows a student to cross out or cancel subexpressions; the second allows them to annotate their work so the teacher or other reviewer knows the student's reasoning.","No","Not","Math problem-solving editor","Learning","Middle school, high school","N/A","N/A","Math","N/A"
"Asamoah, Edward; Ofori-Dua, Kwadwo; Cudjoe, Ebenezer; Abdullah, Alhassan; Nyarko, Joy Ato","Inclusive Education: Perception of Visually Impaired Students, Students Without Disability, and Teachers in Ghana",2018,"The purpose of this study is to investigate the perception of visually impaired students, their peers without disabilities, and teachers about inclusive education, focusing on a second cycle educational institution in the Eastern region of Ghana implementing inclusive education for the visually impaired. In this study, we collected data from 23 visually impaired students, 27 students without disabilities, and 19 teachers in the inclusive school. Data were collected through semistructured in-depth interviews. This study followed a phenomenological approach, reporting findings from participants' own words. The study findings revealed that visually impaired students and some teachers supported inclusion while a number of students without disabilities disliked the practice. Some teachers indicated that the idea of inclusive education is a good way to ensure equal educational opportunities. The study concludes that Ghanaian teachers in inclusive schools should be equipped with training to teach students with disabilities.","Yes","N/A","N/A","N/A","Second cycle educational institution","69","Ghana","N/A","N/A"
"Khan, AHMN; Chowdhury, SN","Computer for persons with visually impairment: A door to education, information and employment",2004,"There is a general social stigma attached to blindness, which is virtually inescapable. This stereotype affects education and employment opportunities for the visually impaired. As such, employers tend to rely more on sighted employees than visually impaired ones. Contrary to popular belief, it is found that a visually impaired person can perform just as well as a sighted person in the classroom and in the workplace. Simply, they have not been afforded the opportunity to prove so. One way to remedy this nationwide problem is through the utilization of Information Communication Technology (ICT). Using specific computer software, hardware, accessories, and other tools, visually impaired people can advance in both education and employment. Access to such computer technology is essential in promoting positive growth for visually impaired people. The paper reflects the problems encountered, and the future course of action for creating access of visually impaired persons to computer technologies.","Yes","Accommodation","ICT, software, hardware, accessories","Classroom, workplace","N/A","N/A","N/A","N/A","N/A"
"Sokolova, A.; Balakova, M.","TEACHING RUSSIAN AS A FOREIGN LANGUAGE TO CZECH STUDENTS WITH VISUAL IMPAIRMENTS IN THE CONTEXT OF INCLUSIVE EDUCATION",2019,"The modern education system of the Czech Republic has a pronounced tendency towards inclusion, i.e. an equal approach to teaching all students without exception. The principles of inclusive education are implemented both at the level of pre-school educational institutions and at the level of higher educational institutions. The aim of this article is to demonstrate the basic principles of inclusive education applied in the process of learning Russian as a foreign language of Czech students with visual impairments. The research was conducted over 6 semesters and it is based on the method of observation and analysis of accumulated experience. The study was conducted in a class with one visually impaired student (for details, see a Purblind student in a class of Russian as a foreign language). Results: the study showed that visual impairment might not always be an obstacle to learning a foreign language. Working with students with visual impairments will differ depending on whether the student has the skill of writing by hand or uses only a computer and a Braille display. Visually impaired students can be taught together with other members of the class, but the teacher should keep in mind the specifics of work with such students and the specifics of tasks and instructions. The conclusions and recommendations obtained as a result of the study are of practical importance for teaching Russian to people with disabilities. Guidelines are based on the real requirements of visually impaired students and take into account both the technical means of work and the traditional methods of working with students.","Yes","Accommodation","Computer and Braille display","Classroom","Higher education","One student","Czech Republic","Russian language","N/A"
"Luckner, John L.; Bruce, Susan M.; Ferrell, Kay Alicyn","A Summary of the Communication and Literacy Evidence-Based Practices for Students Who Are Deaf or Hard of Hearing, Visually Impaired, and Deafblind",2016,"The Collaboration for Effective Educator Development, Accountability, and Reform (CEEDAR) Center at the University of Florida (http://ceedar.education.ufl.edu/) is a national technical assistance center dedicated to supporting states in their efforts to develop teachers and leaders who can successfully prepare students with disabilities to achieve college and career-ready standards. One of the objectives of the project is to organize and synthesize the literature on evidence-based practices for students with disabilities. The purpose of this article is to share a summary of the evidence-based practices in the areas of communication and literacy for students who are deaf, hard of hearing, visually impaired, or deafblind, as well as recommendations for service providers and researchers.","Yes","N/A","N/A","N/A","N/A","N/A","N/A","Communication and literacy","N/A"
"Tom, Sheethal; Mpekoa, Noluntu; Swart, James","The Role of ICTs in the Provision of Engineering Education to Visually Impaired Learners in South Africa",2020,"Inclusivity in education fosters the academic development and social integration of all learners despite their disabilities. In spite of the support extended by higher education institutions towards inclusion, there is a substantial exclusion of visually impaired learners in engineering courses in South Africa. This indicates that there is a lack of an effective framework that guides institutions in South Africa to promote the provision of visually impaired learners in engineering. The purpose of this paper is to firstly obtain the perceptions of visually impaired learners from special schools in the Free State Province regarding the provision of visually impaired learners for engineering education. Secondly, the paper aims to investigate which ICT tools can be used to overcome some of the challenges that visually impaired learners may face in engineering education. Focus groups were used to collect qualitative data from visually impaired learners in the Free State Province of South Africa. The lack of awareness about engineering and the lack of engineering tools were some of the key challenges raised. ICT tools such as iNETSim, AudioMath, PRISCA, LoggerPro, MoodleVox etc. are recommended for specific engineering courses. It is further recommended that tertiary institutions seek to address the challenges faced by visually impaired learners, so that they too may contribute to the socio-economic development of South Africa. This paper forms part of a larger study that aims at developing a framework for the successful adoption and use of ICTs in engineering courses in higher education institutions of South Africa.","Yes","Accommodation","ICT tools for engineering education","Learning","Higher education","N/A","South Africa","Engineering","N/A"
"Pino, Angela; Viladot, Laia","Teaching-learning resources and supports in the music classroom: Key aspects for the inclusion of visually impaired students",2019,"Currently, there still exist barriers that prevent a satisfactory connection between music education and the visually impaired population. This is due to the teachers' lack of preparation and their general ignorance of the functioning of the Braille music system, the materials, specialist support, and other tools needed for the inclusion of this type of students in the classroom. In order to familiarize the educational community with the resources and specialist support involved in inclusive music teaching, we conducted and analysed semi-structured interviews with the following persons: (1) the music specialists at the Organizacion Nacional de Ciegos Espanoles Resource Centre (Spanish National Organization of the Blind); (2) a music teacher who had two visually impaired students in her classes; and (3) a blind student who studied music and had specialized in piano performance. The contributions made by this article consist of the categorization of the different teaching-learning resources involved in inclusion, information on how specialist support can be provided to facilitate these resources, and the relationships between resources and specialist support taking into account the point of view of teacher as the main figure responsible for inclusion in the music classroom.","Yes","Accommodation","Braille music system, specialist support, tools","Classroom","N/A","N/A","Spain","Music","N/A"
"Tumwesigye, C.; Msukwa, G.; Njuguna, M.; Shilio, B.; Courtright, P.; Lewallen, S.","Inappropriate enrolment of children in schools for the visually impaired in east Africa",2009,"Background: Many visually impaired children can learn to read print with appropriate training and simple visual aids. This may allow them to attend normal schools and to be integrated into society, which has lifelong benefits. Yet, in Africa, many visually impaired children are enrolled in special schools and taught only Braille. The purpose of this analysis was to document the extent of inappropriate enrolment of visually impaired children in special schools and annexes for the blind in four African countries. Methods: Schools were selected through a population-proportional-to-size method so that they would represent all children attending special schools in Kenya, Malawi, Tanzania and Uganda. Children were examined by ophthalmologists trained in standardised methods to determine visual acuity and the cause of decreased acuity. Results: Of 1062 children examined in special schools and annexes for the blind, 361 (34%, 95% CI 31.2, 36.8) had visual acuity >= 6/60; the most common cause of visual impairment was retinal disease. Of the 120 children with normal vision (>= 6/18), 69 (57.5%) had two normal eyes, 21 (17.5%) had an obvious ocular disfigurement in the fellow eye and 10 (8.4%) had had successful cataract surgery. Conclusions: In these countries, many children are placed inappropriately in special schools and annexes for the blind. The reasons are multiple and to rectify the situation will require advocacy and cooperation between ministries of health and education.","Yes","Not","N/A","N/A","N/A","1062","Kenya, Malawi, Tanzania, Uganda","N/A","N/A"
"Fuentes Sepulveda, J.; Ferres, L.","Improving accessibility to mathematical formulas: the Wikipedia Math Accessor",2012,"Mathematics accessibility is an important topic for inclusive education. In this paper, we make Wikipedia's repository of mathematical formulas accessible by providing a natural language description of its more than 420,000 formulas using a well-researched sub-language. We also contribute by targeting Spanish speakers, for whom assistive technologies, particularly domain-specific technologies like the one described here, are scarce. Our focus on the semantics of formulas (rather than their visual appearance) allowed us to generate verbalizations with a precision of approximately 80% of understandable descriptions, as shown in an evaluation with sighted users.","No","Not","Natural language descriptions of math formulas","N/A","N/A","N/A","N/A","Mathematics","N/A"
"Calderon, C. A.; Guajala, Maria; Lanchi, John; Barba-Guaman, Luis; Bermeo, Carlos; Rivas-Echeverria, F.","A machine vision system applied to the teaching of mathematics for blind or visually impaired children",2018,"This paper proposes the architecture and the procedure for the design and development of a new educational board game based on computer vision, which is an automated tutor oriented to special education institutions. For practical demonstration of the proposed system, we applied machine vision to educational board game focused on two-dimensional Braille math operations. Three tests were performed: 1) Test of performance of the machine vision based on cross-correlation algorithm, 2) Test of the algorithm that locates errors on the educational board game, and 3) Usability evaluation by visually impaired children and teachers at the Institute for Blind people Byron Eguiguren (Loja-Ecuador). As a result of 1), the average success rate is equal to 94.6%; as a result of 2), the algorithm locates 100% of possible errors; finally as a result of 3), aspects as interactivity, usability, likeability, and playability are met. These results indicate the high potential of the new application proposed of the machine vision systems; as a means for creating automated tutors applied to educational board games for visually impaired children, these teaching tools meet such characteristics as low-cost, fast and non-intrusive.","Yes","Accommodation","Machine vision for Braille math operations","Learning, classroom","N/A","N/A","Ecuador","Mathematics","N/A"
"Maher, Anthony J.; Haegele, Justin A.; Sparkes, Andrew C.","Stop fearing blindness! Visually impaired people reflect on the ethics of sighted prospective teachers simulating visual impairment",2024,"Points of Interest In this article we explore what visually impaired people say about sighted people wearing blindfolds and doing activities to learn about visual impairment. Visually impaired people say that they should be involved in the planning and delivery of the activities. Visually impaired people are concerned that if they are not involved, the activities may reinforce negative attitudes about them. Some visually impaired people say that teachers should not use touch to teach visually impaired pupils. Others say that touch is important for supporting learning and preventing injury. If touch is used to teach visually impaired pupils, when and how it is used must be decided by the visually impaired pupil and discussed with the teacher. Visually impaired people are concerned that grouping pupils in relation to 'ability' may result in exclusion. Disability simulations have developed as a popular professional development tool to help increase knowledge and awareness of disability and facilitate pedagogical learning among prospective and pre-service teachers. The aim of this research is to explore the ethics of sighted people simulating visual impairment from the perspective of visually impaired people. Participants were nine visually impaired adults who read vignettes narrating simulation experiences of prospective physical education teachers in a university setting before being interviewed about their perceptions of what they had read. Interviews were conducted via telephone, and were recorded, transcribed, and subjected to thematic analysis. The themes constructed and discussed in this article from an ethical perspective are: (1) involving visually impaired people in simulated experiences; (2) reinforcing negative attitudes about visually impaired people; (3) tensions involving touch for pedagogical purposes; and (4) adapting activities and grouping pupils in relation to 'ability'.","Yes","Not","N/A","N/A","N/A","Nine","N/A","Physical education","N/A"
"Bishop, Daniel; Rhind, Daniel J. A.","Barriers and enablers for visually impaired students at a UK Higher Education Institution",2011,"The present study explored the factors which represent barriers and enablers to participation in Higher Education for students who are visually impaired. Semi-structured interviews were conducted with nine visually impaired students who were studying at a Higher Education Institution in the United Kingdom. Interpretative Phenomenological Analysis revealed four higher-order themes: the student's attitude (i.e. self identity, positive aspects of being visually impaired, engagement with support), institutional provision (i.e. campus navigability, central services support, school-level support), external support (i.e. travelling to and from campus, external financial support) and others' attitudes (i.e. parental attitudes, staff attitudes). These findings are discussed with reference to how institutions may enhance the experience of not only visually impaired, but all Higher Education students.","Yes","Accommodation","N/A","N/A","Higher Education","Nine","United Kingdom","N/A","N/A"
"Abdulkadir, Abdulnazif; Kawu, Abdullahi Abubakar; Abdullahi, Ibrahim; Rabiu, Idris; Yaya, Bashir Sarki","Visually Impaired Users' Access to Online Academic Result in Nigerian Higher Education Institutions: An Exploratory Design Needs Study",2023,"The adoption of web-based platforms by students to check or access their academic performance is widespread in developing countries' academic systems. However, challenges persist in achieving full implementation, particularly in the case of visually impaired students. This paper explores the perception of visually impaired users in creating an accessible result-checking system for visually impaired students in Higher Education Institutions (HEIs) in Nigeria. Despite efforts towards inclusive education, students with visual impairments encounter barriers to accessing educational resources and information. This research aims to identify perceptions, challenges, and opportunities for creating a highly accessible result checking system. The study involves a user-centred focus group discussion with visually impaired participants. Findings reveal challenges in accessing educational information, lack of assistive device provision, and privacy concerns. Participants highlighted the role of mobile apps in facilitating access to information. The study contributes to the discourse on inclusive education and underscores the potential of IVR/USSD technology to bridge accessibility gaps for visually impaired students, promoting independence and equitable access to educational resources. The paper highlights the methodology and participant insights from the focus group discussion held.","Yes","Accommodation","Accessible result-checking system","Assessment","Higher Education","N/A","Nigeria","Academic performance","N/A"
"Bortolozzi Maia, Ana Claudia","SEX EDUCATION AND SEXUALITY IN THE SPEECH OF A PERSON WITH VISUALLY IMPAIRED",2011,"Sexuality and sex education for visually impaired people are still a few subjects studied in the field of Education. The aim of this study was to investigate sexuality and sex education of the visually impaired, through an interview with an adult woman, blind from birth, for further analysis of thematic content. It is a descriptive-qualitative case study. The following categories were described in the results: (1) Concept of sexuality, (2) Sexual Education, (3) Sexuality and Disability, (4) Social issues and prejudice. The data confirm other studies showing the existence of social prejudice, sexual myths, no sex education or sex education with superficial information and difficulties predominantly psychosocial and not organic in relation to sexuality. We conclude that sexuality and sex education are important issues that should be considered in the general education of people with disabilities.","Yes","N/A","N/A","N/A","N/A","1","N/A","Sex education","N/A"
"Guinness, Darren; Muehlbradt, Annika; Szafir, Daniel; Kane, Shaun K.","The Haptic Video Player: Using Mobile Robots to Create Tangible Video Annotations",2018,"Video and animation are common ways of delivering concepts that cannot be easily communicated through text. This visual information is often inaccessible to blind and visually impaired persons, and alternative representations such as Braille and audio may leave out important details. Audio-haptic displays allow for the presentation of complex spatial information, along with accompanying description. We introduce the Haptic Video Player, a system for authoring and presenting audio-haptic content from videos. The Haptic Video Player presents video using mobile robots that can be touched as they move over a touch screen. We describe the design of the Haptic Video Player system, and present user studies with educators and blind individuals that demonstrate the ability of this system to render dynamic visual content non-visually.","Yes","Accommodation","Audio-haptic content from videos","N/A","N/A","N/A","N/A","N/A","N/A"
"Konecki, Mario","GUIDL as an Aiding Technology in Programming Education of Visually Impaired",2014,"Programming education is of vital importance because of growing needs for programming professionals. Even though efforts have been made in order to improve the quality of knowledge and acquired programming skill of computer science students the educational systems are still confronted with rather high failure and dropout rates. There are several possible approaches that can be taken in education of programming novices which are described and discussed in this paper. The problems in programming education are even more prominent in the case of programming novices who are visually impaired. Some of educational problems are similar to general problems in programming education and some are specific in the case of visually impaired students and require a suitable approach in order to be resolved. Several existing aiding tools and approaches are presented in this paper and a new solution in the form of GUIDL (Graphical User Interface Description Language) system is proposed as a suitable mean for aiding visually impaired in their programming education. The results of conducted research about the effectiveness of proposed solution are also presented and discussed.","Yes","Accommodation","GUIDL system for aiding programming education","N/A","N/A","N/A","N/A","Programming education","N/A"
